date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"September 28, 2004",2004,40,SMiLE,Brian Wilson,97,79,29,514,Nonesuch,"['Rock', 'Pop']"
"April 27, 2004",2004,18,Van Lear Rose,Loretta Lynn,97,84,27,139,Interscope,['Country']
"March 23, 2004",2004,13,Madvillainy,Madvillain,93,89,20,743,Stones Throw,"['Indie', 'Rap']"
"January 20, 2004",2004,4,Boy In Da Corner,Dizzee Rascal,92,88,28,191,Matador / XL,"['Electronic', 'Rap']"
"May 18, 2004",2004,21,A Grand Dont Come For Free,The Streets,91,79,30,225,Vice / 679,"['Electronic', 'Rap']"
"February 24, 2004",2004,9,Candi Staton,Candi Staton,90,86,9,14,Astralwerks,"['R&B', 'Soul']"
"September 14, 2004",2004,38,Funeral,Arcade Fire,90,89,33,1034,Merge / Rough Trade,"['Indie', 'Rock']"
"September 7, 2004",2004,37,HoboSapiens,John Cale,89,82,16,16,EMI / Or Music,"['Rock', 'Alternative']"
"September 21, 2004",2004,39,Last Exit,Junior Boys,89,82,23,50,KIN / Domino,"['Indie', 'Dance', 'Pop', 'Electronic']"
"June 21, 2004",2004,26,Ta Det Lugnt,Dungen,88,86,21,39,Subliminal Sounds,"['Indie', 'Rock']"
"October 19, 2004",2004,43,From A Basement On The Hill,Elliott Smith,88,89,37,126,Anti,"['Indie', 'Rock', 'Singer-Songwriter']"
"May 4, 2004",2004,19,Rejoicing In The Hands,Devendra Banhart,88,84,21,25,Young God,"['Indie', 'Rock', 'Singer-Songwriter']"
"October 26, 2004",2004,44,Abattoir Blues The Lyre Of Orpheus,Nick Cave the Bad Seeds,88,88,31,60,Anti,"['Indie', 'Rock']"
"February 10, 2004",2004,7,College Dropout,Kanye West,87,84,25,1317,Roc-A-Fella,['Rap']
"September 14, 2004",2004,38,Showtime,Dizzee Rascal,87,79,28,33,Beggars Banquet / XL,['Rap']
"August 24, 2004",2004,35,The Dirty South,Drive-By Truckers,87,88,15,38,New West,"['Indie', 'Rock']"
"June 1, 2004",2004,23,Now More Than Ever,Jim Guthrie,87,88,10,11,Three Gut,"['Indie', 'Rock']"
"March 9, 2004",2004,11,Franz Ferdinand,Franz Ferdinand,87,86,31,326,Domino,"['Indie', 'Rock']"
"August 24, 2004",2004,35,Favourite Colours,The Sadies,87,86,9,5,Yep Roc,"['Indie', 'Rock', 'Alt-Country']"
"March 16, 2004",2004,12,Seven Swans,Sufjan Stevens,87,87,23,111,Sounds Familyre / Rough Trade,"['Indie', 'Rock', 'Singer-Songwriter']"
"July 27, 2004",2004,31,Dead Cities Red Seas Lost Ghosts,M83,86,89,15,83,Mute / EMI,['Electronic']
"August 31, 2004",2004,36,Beautifully Human Words And Sounds Vol 2,Jill Scott,86,89,10,22,Sony,"['R&B', 'Soul']"
"October 26, 2004",2004,44,The Futureheads,The Futureheads,86,87,24,58,679 / Sire,"['Indie', 'Rock']"
"March 2, 2004",2004,10,Cee-Lo Green Is The Soul Machine,Cee Lo Green,86,86,19,37,Arista,"['Rap', 'R&B']"
"March 23, 2004",2004,13,Murs 316 The 9th Edition,Murs,85,87,12,23,Definitive Jux,"['Indie', 'Rap']"
"August 10, 2004",2004,33,Bubblegum,Mark Lanegan Band,85,87,23,34,Beggars Banquet,"['Rock', 'Alternative']"
"June 15, 2004",2004,25,The Real New Fall LP Formerly Country On The Click,The Fall,85,86,21,16,Action / Narnack,"['Rock', 'Alternative']"
"October 12, 2004",2004,42,Crimes,The Blood Brothers,85,88,21,38,V2,"['Indie', 'Rock']"
"October 12, 2004",2004,42,Left Of The Dial Dispatches From The 80s Underground,Various Artists,85,78,8,5,Rhino,"['Indie', 'Rock', 'Alternative']"
"August 31, 2004",2004,36,Medulla,Bjrk,84,87,,0,,[]
"July 27, 2004",2004,31,Blue Cathedral,Comets On Fire,84,71,17,28,Sub Pop,"['Indie', 'Rock']"
"March 23, 2004",2004,13,Our Endless Numbered Days,Iron Wine,84,87,21,48,Sub Pop,"['Indie', 'Rock']"
"December 7, 2004",2004,50,Oceans Twelve OST,David Holmes,84,79,7,10,Warner Brothers,"['Rock', 'Soundtrack']"
"May 4, 2004",2004,19,ONoffON,Mission of Burma,84,85,26,11,Matador,"['Indie', 'Rock']"
"April 20, 2004",2004,17,The Pretty Toney Album,Ghostface Killah,84,83,14,22,Def Jam,['Rap']
"January 27, 2004",2004,5,Cast Of Thousands,Elbow,84,86,23,40,V2,"['Rock', 'Alternative']"
"October 25, 2004",2004,44,The Royal Society,The Eighties Matchbox B-Line Disaster,84,89,7,13,MCA,"['Indie', 'Rock']"
"June 7, 2004",2004,24,Modern Apprentice,Ikara Colt,84,88,7,4,Fantastic Plastic,"['Indie', 'Rock']"
"April 20, 2004",2004,17,Inches,Les Savy Fav,84,89,14,9,French Kiss,"['Indie', 'Rock']"
"January 20, 2004",2004,4,Secret Wars,Oneida,83,80,17,4,Jagjaguwar,"['Indie', 'Rock']"
"April 20, 2004",2004,17,Faking The Books,Lali Puna,83,82,18,6,Morr Music,['Electronic']
"June 1, 2004",2004,23,Sung Tongs,Animal Collective,83,87,23,104,Fat Cat,"['Indie', 'Rock']"
"April 27, 2004",2004,18,Escondida,Jolie Holland,83,84,15,7,Anti,"['Indie', 'Rock', 'Folk', 'Singer-Songwriter']"
"April 6, 2004",2004,15,Good News For People Who Love Bad News,Modest Mouse,83,88,32,210,Sony,"['Indie', 'Rock']"
"July 27, 2004",2004,31,Homesongs,Adem,83,86,20,7,Domino,"['Indie', 'Rock']"
"April 27, 2004",2004,18,A Boot And A Shoe,Sam Phillips,83,87,9,15,Nonesuch,"['Rock', 'Adult Alternative', 'Singer-Songwriter']"
"January 20, 2004",2004,4,Pyramid Electric Co,Jason Molina,82,77,7,6,Secretly Canadian,"['Indie', 'Rock']"
"October 12, 2004",2004,42,Our Shadows Will Remain,Joseph Arthur,82,87,14,28,Vector,"['Indie', 'Rock', 'Singer-Songwriter']"
"September 21, 2004",2004,39,Nio Rojo,Devendra Banhart,82,80,,0,,[]
"October 26, 2004",2004,44,Youre A Woman Im A Machine,Death from Above 1979,82,90,21,72,Vice / Atlantic,"['Indie', 'Rock']"
"August 24, 2004",2004,35,Frozen Orange,David Kilgour,82,0,8,0,Merge,"['Indie', 'Rock']"
"February 24, 2004",2004,9,Panda Park,90 Day Men,82,0,7,0,Southern,"['Indie', 'Rock']"
"May 4, 2004",2004,19,The Ride,Los Lobos,82,83,9,6,Hollywood,['Rock']
"October 12, 2004",2004,42,Love Songs For Patriots,American Music Club,82,80,24,5,Merge,"['Indie', 'Rock']"
"September 28, 2004",2004,40,Universal Audio,The Delgados,82,82,17,9,Chemikal Underground,"['Indie', 'Rock']"
"August 10, 2004",2004,33,Album Of The Year,The Good Life,82,88,13,24,Saddle Creek,"['Indie', 'Rock']"
"March 22, 2004",2004,13,Venice,Fennesz,82,80,14,7,Touch,"['Electronic', 'Experimental']"
"August 31, 2004",2004,36,Weightlifting,Trash Can Sinatras,81,88,12,36,SpinArt,"['Indie', 'Rock']"
"May 18, 2004",2004,21,Bright Like Neon Love,Cut Copy,81,88,9,31,Modular,['Electronic']
"March 2, 2004",2004,10,Now Soon Someday EP,Beans,81,0,7,0,Warp,"['Indie', 'Rap']"
"September 7, 2004",2004,37,Rubber Factory,The Black Keys,81,87,23,91,Epitaph,"['Indie', 'Rock']"
"July 27, 2004",2004,31,Scissor Sisters,Scissor Sisters,81,89,25,99,Polydor / Universal,"['Indie', 'Rock']"
"June 22, 2004",2004,26,a ghost is born,Wilco,81,88,33,138,Nonesuch,"['Indie', 'Rock', 'Alt-Country']"
"November 16, 2004",2004,47,MMFood,MF Doom,81,88,22,138,Rhymesayers,"['Indie', 'Rap']"
"May 4, 2004",2004,19,Penance Soiree,The Icarus Line,81,84,17,10,V2,"['Indie', 'Rock']"
"February 17, 2004",2004,8,Aw CMon,Lambchop,80,82,23,5,Merge,"['Indie', 'Rock', 'Alt-Country']"
"November 9, 2004",2004,46,The Tigers Have Spoken,Neko Case,80,82,23,19,Anti,"['Indie', 'Rock', 'Live', 'Alt-Country']"
"May 18, 2004",2004,21,Since We Last Spoke,RJD2,80,88,21,15,Definitive Jux,"['Indie', 'Hip-Hop']"
"September 7, 2004",2004,37,What I Do,Alan Jackson,80,81,8,7,Arista,['Country']
"February 17, 2004",2004,8,Fabulous Muscles,Xiu Xiu,80,88,18,26,5 Rue Christine,"['Indie', 'Rock', 'Experimental']"
"February 3, 2004",2004,6,Me First,The Elected,80,86,16,7,Sub Pop,"['Indie', 'Rock']"
"November 30, 2004",2004,49,Streets Disciple,Nas,80,83,16,124,Columbia,['Rap']
"June 8, 2004",2004,24,The Slow Wonder,AC Newman,80,86,21,24,Matador,"['Indie', 'Rock']"
"August 31, 2004",2004,36,The Libertines,The Libertines,80,88,28,106,Sanctuary,"['Indie', 'Rock']"
"March 9, 2004",2004,11,Pawn Shoppe Heart,The Von Bondies,80,88,25,10,Warner Brothers,"['Indie', 'Rock']"
"October 5, 2004",2004,41,The Grind Date,De La Soul,80,77,21,23,Sanctuary / AOI,['Rap']
