date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"March 16, 2015",2015,12,To Pimp A Butterfly,Kendrick Lamar,96,89,44,3984,Interscope / Aftermath,['Rap']
"March 31, 2015",2015,14,Carrie Lowell,Sufjan Stevens,90,89,40,578,Asthmatic Kitty,"['Singer/Songwriter', 'Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Lo-Fi', 'Indie Pop', 'Alternative Singer/Songwriter', 'Indie Folk', 'Chamber Pop']"
"January 20, 2015",2015,4,No Cities to Love,Sleater-Kinney,90,82,39,167,Sub Pop,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock']"
"January 27, 2015",2015,5,Apex Predator - Easy Meat,Napalm Death,89,72,15,58,Century Media,"['Pop/Rock', 'Heavy Metal']"
"March 16, 2015",2015,12,The Fade in Time,Sam Lee,89,56,7,34,The Nest Collective,['Folk']
"March 3, 2015",2015,10,HandCannotErase,Steven Wilson,89,87,8,156,Kscope,"['Pop/Rock', 'Adult Alternative Pop/Rock', 'Alternative/Indie Rock', 'Contemporary Singer/Songwriter', 'Album Rock', 'Neo-Prog']"
"October 23, 2015",2015,43,Divers,Joanna Newsom,88,82,33,155,Drag City,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Alternative Singer/Songwriter', 'Indie Folk']"
"March 24, 2015",2015,13,Sometimes I Sit And Think And Sometimes I Just Sit,Courtney Barnett,88,85,35,214,Mom + Pop Music,"['Pop/Rock', 'Indie Rock']"
"September 11, 2015",2015,37,Thats the Spirit,Bring Me the Horizon,88,71,10,367,RCA,"['Pop/Rock', 'Heavy Metal', 'Death Metal', 'Grindcore']"
"May 19, 2015",2015,21,From Kinshasa,Mbongwana Star,88,53,13,60,Atlantic,['International']
"December 11, 2015",2015,50,Art Angels,Grimes,88,89,32,972,4AD,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 24, 2015",2015,9,Complicated Game,James McMurtry,87,82,9,13,Complicated Game,"['Folk', 'Americana', 'Pop/Rock', 'Roots Rock']"
"September 25, 2015",2015,39,Have You in My Wilderness,Julia Holter,87,86,28,142,Domino,"['Electronic', 'Ambient', 'Avant-Garde', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Indie Electronic', 'Experimental Electronic']"
"July 17, 2015",2015,29,Something More Than Free,Jason Isbell,87,82,25,39,Southeastern Records,"['Country', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Country-Rock', 'Roots Rock', 'Southern Rock']"
"August 21, 2015",2015,34,John Howard the Night Mail,John Howard The Night Mail,87,76,7,5,Tapete Records,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 16, 2015",2015,8,Ten Love Songs,Susanne Sundfr,87,88,,0,,[]
"May 4, 2015",2015,19,Choose Your Weapon,Hiatus Kaiyote,87,85,7,69,Sony Masterworks,"['R&B', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Alternative R&B']"
"May 4, 2015",2015,19,Painted Shut,Hop Along,87,84,13,46,Saddle Creek Records,['Pop/Rock']
"June 30, 2015",2015,27,Summertime 06,Vince Staples,87,86,24,288,Def Jam,['Rap']
"January 20, 2015",2015,4,Vulnicura,Bjrk,87,88,,0,,[]
"February 10, 2015",2015,7,I Love You Honeybear,Father John Misty,87,86,34,236,Sub Pop,"['Pop/Rock', 'Alternative/Indie Rock']"
"May 26, 2015",2015,22,Remembering Mountains Unheard Songs By Karen Dalton,Various Artists,87,72,12,5,Tompkins Square,"['Folk', 'Pop/Rock']"
"June 2, 2015",2015,23,In Colour,Jamie xx,87,87,39,362,Young Turks,"['Electronic', 'Garage', 'Pop/Rock', 'Alternative/Indie Rock', 'Club/Dance', 'Indie Electronic', 'Indie Pop', 'Dubstep']"
