date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"April 14, 2017",2017,15,DAMN,Kendrick Lamar,95,84,39,3111,Aftermath,['Rap']
"March 24, 2017",2017,12,A Crow Looked at Me,Mount Eerie,93,80,18,307,P.W. Elverum & Sun Ltd.,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter']"
"June 16, 2017",2017,24,Melodrama,Lorde,91,89,32,4339,Republic,['Pop/Rock']
"November 3, 2017",2017,44,The Dusk in Us,Converge,89,77,18,62,Epitaph,['Pop/Rock']
"March 24, 2017",2017,12,Eternity In Your Arms,Creeper,89,77,8,65,Warner Bros.,"['Pop/Rock', 'Alternative/Indie Rock']"
"May 19, 2017",2017,20,Black Origami,Jlin,89,71,15,83,Planet Mu,"['Electronic', 'Pop/Rock', 'Techno Bass', 'Juke/Footwork']"
"June 23, 2017",2017,25,Big Fish Theory,Vince Staples,89,83,25,370,Def Jam,['Rap']
"March 10, 2017",2017,10,The Order of Time,Valerie June,89,79,10,42,Concord,['Pop/Rock']
"October 13, 2017",2017,41,Masseduction,St Vincent,88,88,38,457,Loma Vista,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"August 19, 2017",2017,33,Science Fiction,Brand New,88,84,14,191,N/A,['Pop/Rock']
"October 27, 2017",2017,43,Plunge,Fever Ray,87,77,21,111,Mute,"['Pop/Rock', 'Alternative/Indie Rock']"
"September 22, 2017",2017,38,Lailas Wisdom,Rapsody,87,82,7,48,Virgin EMI,['Rap']
"May 5, 2017",2017,18,The Thin Black Duke,Oxbow,87,79,9,18,Hydra Head,"['Pop/Rock', 'Heavy Metal']"
"April 21, 2017",2017,16,Guppy,Charly Bliss,87,79,7,27,Barsuk,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock']"
"April 7, 2017",2017,14,Arca,Arca,87,83,20,239,XL,"['Electronic', 'Experimental Electronic']"
"October 20, 2017",2017,42,Reaching for Indigo,Circuit des Yeux,87,82,13,9,Drag City,"['Pop/Rock', 'Alternative/Indie Rock', 'Post-Rock', 'Experimental Rock', 'Indie Folk']"
"September 22, 2017",2017,38,V,The Horrors,87,82,19,67,Caroline,['Pop/Rock']
"June 9, 2017",2017,23,CTRL,SZA,86,88,15,502,RCA,['R&B']
"February 24, 2017",2017,8,Nightmare Logic,Power Trip,86,77,10,23,Southern Lord Records,"['Pop/Rock', 'Heavy Metal']"
"August 25, 2017",2017,34,Far from Over,Vijay Iyer,86,0,7,0,ECM,['Jazz']
"October 6, 2017",2017,40,For Sale Live at Maxwells 1986,The Replacements,86,80,8,7,Sire,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter', 'American Underground', 'Jangle Pop', 'College Rock']"
"September 29, 2017",2017,39,New Energy,Four Tet,86,82,10,22,Temporary Residence,"['Electronic', 'Club/Dance']"
"April 21, 2017",2017,16,Narkopop,Gas,86,78,14,40,Kompakt / Kompakt Germany,['Electronic']
"February 3, 2017",2017,5,Process,Sampha,86,81,28,247,Young Turks,"['Electronic', 'Club/Dance', 'Alternative Singer/Songwriter', 'Alternative R&B']"
"March 10, 2017",2017,10,50 Song Memoir,Magnetic Fields,86,76,17,37,Nonesuch,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Electronic', 'Indie Pop']"
"May 12, 2017",2017,19,A Kind Revolution,Paul Weller,86,78,16,17,Parlophone / Warner Bros.,['Pop/Rock']
"February 10, 2017",2017,6,Elwan,Tinariwen,86,78,13,29,Epitaph,['International']
"March 31, 2017",2017,13,Close Ties,Rodney Crowell,86,79,9,10,New West Records,['Country']
