date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"September 9, 2016",2016,36,Skeleton Tree,Nick Cave the Bad Seeds,95,83,36,385,Bad Seeds Ltd.,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter', 'Post-Punk']"
"April 23, 2016",2016,16,Lemonade,Beyoncé,92,80,33,0,Parkwood,"['Pop', 'R&B']"
"October 21, 2016",2016,42,You Want It Darker,Leonard Cohen,92,84,28,182,Columbia,['Pop/Rock']
"November 11, 2016",2016,45,We Got It From HereThank You 4 Your Service,A Tribe Called Quest,91,88,26,331,Epic,"['Rap', 'East Coast Rap', 'Jazz-Rap']"
"May 13, 2016",2016,19,Coloring Book Mixtape,Chance the Rapper,89,83,21,601,N/A,['Rap']
"September 30, 2016",2016,39,A Seat at the Table,Solange,89,84,26,387,Columbia,"['R&B', 'Contemporary R&B', 'Alternative R&B']"
"September 30, 2016",2016,39,American Band,Drive-By Truckers,88,80,18,38,ATO,"['Pop/Rock', 'Alternative/Indie Rock', 'Hard Rock', 'Alternative Country-Rock', 'Southern Rock']"
"May 8, 2016",2016,18,A Moon Shaped Pool,Radiohead,88,89,43,1492,XL,"['Alternative', 'Pop/Rock', 'Alternative Pop/Rock']"
"December 25, 2016",2016,51,Run the Jewels 3,Run the Jewels,88,88,34,417,Mass Appeal / RED Music Solutions,['Rap']
"November 4, 2016",2016,44,Black America Again,Common,88,73,14,73,Def Jam,"['Rap', 'Alternative Rap', 'Hardcore Rap', 'Midwest Rap']"
"April 1, 2016",2016,13,Upland Stories,Robbie Fulks,87,42,12,65,Bloodshot,"['Country', 'Folk', 'Pop/Rock']"
"January 8, 2016",2016,1,Blackstar,David Bowie,87,89,43,728,Columbia,"['Pop/Rock', 'Contemporary Pop/Rock', 'Experimental Rock', 'Art Rock']"
"September 2, 2016",2016,35,My Woman,Angel Olsen,87,85,30,186,Jagjaguwar,"['Pop/Rock', 'Alternative/Indie Rock']"
"August 20, 2016",2016,33,Blonde,Frank Ocean,87,89,38,1244,Self-released,[]
"June 17, 2016",2016,24,Puberty 2,Mitski,87,88,22,152,Dead Oceans Records,"['Pop/Rock', 'Alternative/Indie Rock']"
"June 17, 2016",2016,24,You Will Never Be One of Us,NAILS,87,67,9,82,Nuclear Blast,"['Pop/Rock', 'Heavy Metal']"
"September 30, 2016",2016,39,22 A Million,Bon Iver,87,84,41,381,Jagjaguwar,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Indie Electronic', 'Alternative Singer/Songwriter', 'Indie Folk']"
"March 18, 2016",2016,11,Hollowed,Ital Tek,86,80,7,22,Planet Mu,"['Electronic', 'Techno', 'Pop/Rock', 'Experimental Techno', 'IDM']"
"April 15, 2016",2016,15,A Sailors Guide to Earth,Sturgill Simpson,86,82,19,81,Atlantic,['Country']
"July 15, 2016",2016,28,Love Hate,Michael Kiwanuka,86,85,23,61,Interscope,"['R&B', 'Pop/Rock']"
"July 1, 2016",2016,26,blackSUMMERSnight 2016,Maxwell,86,84,,0,,[]
"July 8, 2016",2016,27,Centres,Ian William Craig,86,75,12,25,Fat Cat,"['Electronic', 'Avant-Garde', 'Pop/Rock', 'Experimental Ambient', 'Experimental Electronic', 'Neo-Classical', 'Tape Music']"
"May 20, 2016",2016,20,Teens of Denial,Car Seat Headrest,86,84,24,178,Matador,"['Pop/Rock', 'Alternative/Indie Rock']"
"October 14, 2016",2016,41,Dissociation,The Dillinger Escape Plan,86,80,15,36,Cooking Vinyl,"['Pop/Rock', 'Alternative Metal', 'Heavy Metal', 'Math Rock']"
"March 25, 2016",2016,12,Midwest Farmers Daughter,Margo Price,86,79,13,45,Third Man Records,['Country']
"June 3, 2016",2016,22,This Is Where I Live,William Bell,86,82,7,6,Stax,"['R&B', 'Soul', 'Pop/Rock']"
"April 22, 2016",2016,16,Nerissimo,Teho Teardo,86,72,7,11,Spècula,['Pop/Rock']
"March 4, 2016",2016,9,untitled unmastered,Kendrick Lamar,86,83,31,842,Top Dawg,['Rap']
"June 3, 2016",2016,22,Stranger to Stranger,Paul Simon,85,80,26,45,Concord,['Pop/Rock']
"September 23, 2016",2016,38,Fires Within Fires,Neurosis,85,73,10,12,Neurot,"['Metal', 'Pop/Rock', 'Post-Metal']"
"January 15, 2016",2016,2,Malibu,Anderson Paak,85,86,18,326,Steel Wool Entertainment,"['Rap', 'R&B']"
"September 27, 2016",2016,39,Atrocity Exhibition,Danny Brown,85,88,31,413,Warp,"['Rap', 'Alternative Rap', 'Underground Rap', 'Midwest Rap']"
"May 27, 2016",2016,21,Goodness,The Hotelier,85,78,10,33,Revolver Music / Tiny Engines,['Pop/Rock']
"April 29, 2016",2016,17,The Impossible Kid,Aesop Rock,85,86,11,72,Rhymesayers,['Rap']
"October 21, 2016",2016,42,Winter Wheat,John K Samson,85,83,8,4,Anti/Epitaph,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Alternative Singer/Songwriter']"
"April 15, 2016",2016,15,Singing Saw,Kevin Morby,84,80,20,36,Dead Oceans Records,"['Pop/Rock', 'Alternative/Indie Rock']"
"December 2, 2016",2016,48,Before the Dawn Live,Kate Bush,84,85,15,28,Concord,"['Pop/Rock', 'Alternative/Indie Rock', 'Art Rock']"
"March 4, 2016",2016,9,Emilys DEvolution,Esperanza Spalding,84,78,,0,,[]
"August 5, 2016",2016,31,Lovers,Nels Cline,84,72,12,6,Blue Note,"['Jazz', 'Jazz Instrument', 'Guitar Jazz']"
"March 4, 2016",2016,9,Full Circle,Loretta Lynn,84,76,17,20,Sony Music,"['Country', 'Alt-Country', 'Americana', 'Pop/Rock', 'Alternative/Indie Rock', 'Progressive Country', 'Traditional Country']"
"October 7, 2016",2016,40,Let Them Eat Chaos,Kate Tempest,84,78,16,24,Lex,['Pop']
"September 16, 2016",2016,37,Stage Four,Touché Amoré,84,82,13,0,Epitaph,['Pop/Rock']
"November 11, 2016",2016,45,Forward Constant Motion,Virginia Wing,84,0,7,0,Fire Records,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Electronic', 'Indie Pop', 'Experimental Rock']"
"February 12, 2016",2016,6,Cardinal,Pinegrove,84,82,12,49,Run for Cover Records,['Pop/Rock']
"September 30, 2016",2016,39,Blood Bitch,Jenny Hval,84,80,23,35,Sacred Bones,['Alternative/Indie Rock']
"February 19, 2016",2016,7,In My Mind,BJ the Chicago Kid,84,73,7,23,Motown,"['R&B', 'Contemporary R&B']"
"May 13, 2016",2016,19,Introducing Karl Blau,Karl Blau,84,66,7,9,Raven Marching Band Records,"['Country', 'Pop/Rock', 'Alternative/Indie Rock']"
"March 4, 2016",2016,9,Varmints,Anna Meredith,84,77,9,27,Moshi Moshi Records,"['Electronic', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"December 16, 2016",2016,50,Stillness In Wonderland,Little Simz,84,84,7,14,Age 101,['Rap']
"September 16, 2016",2016,37,Become Zero,Helen Money,84,0,7,0,Thrill Jockey,"['Pop/Rock', 'Alternative/Indie Rock', 'Post-Rock', 'Heavy Metal', 'Experimental Rock', 'Neo-Classical Metal', 'Neo-Classical']"
"February 19, 2016",2016,7,DJ-Kicks,Moodymann,83,78,9,9,!K7,"['Electronic', 'House', 'Downtempo', 'Pop/Rock', 'Club/Dance', 'Neo-Disco']"
"November 4, 2016",2016,44,FLOTUS,Lambchop,83,81,26,18,Merge,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Alternative Singer/Songwriter', 'Alternative Country-Rock', 'Chamber Pop']"
"March 25, 2016",2016,12,Patch the Sky,Bob Mould,83,74,25,27,Merge,"['Pop/Rock', 'Alternative/Indie Rock']"
"May 6, 2016",2016,18,Konnichiwa,Skepta,83,78,18,97,Boy Better Know,['Rap']
"April 8, 2016",2016,14,Sorrow Reimagining of Goreckis 3rd Symphony,Colin Stetson,83,78,9,12,52hz,"['Classical', 'Classical Crossover', 'Miscellaneous (Classical)']"
"May 20, 2016",2016,20,The Party,Andy Shauf,83,86,9,22,Anti-,"['Pop/Rock', 'Alternative Pop/Rock']"
"June 3, 2016",2016,22,Light Upon the Lake,Whitney,83,86,,0,,[]
"August 12, 2016",2016,32,Stranger Things Vol 1 Original Television Series Soundtrack,Kyle Dixon,83,84,9,37,Lakeshore Records,"['Electronic', 'Ambient', 'Stage & Screen']"
"April 29, 2016",2016,17,Nonagon Infinity,King Gizzard the Lizard Wizard,83,87,14,93,Heavenly,"['Pop/Rock', 'Alternative/Indie Rock']"
"June 17, 2016",2016,24,caselangveirs,Neko Case,83,79,26,28,Anti-,"['Pop/Rock', 'Adult Alternative Pop/Rock', 'Alternative/Indie Rock', 'Indie Pop', 'Alternative Singer/Songwriter', 'Indie Folk']"
"June 17, 2016",2016,24,Still Brazy,YG,83,85,14,134,Def Jam,['Rap']
"July 8, 2016",2016,27,Wildflower,The Avalanches,83,83,33,135,Astralwerks,"['Electronic', 'Rap', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Club/Dance', 'Alternative Dance', 'Funky Breaks']"
"March 18, 2016",2016,11,Visions of Us on the Land,Damien Jurado,83,82,13,14,Secretly Canadian,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 5, 2016",2016,5,The Ghosts of Highway 20,Lucinda Williams,83,75,19,20,Highway 20 Records,"['Country', 'Pop/Rock']"
"February 5, 2016",2016,5,Scheherazade,Freakwater,83,0,9,0,Bloodshot,"['Country', 'Folk', 'Pop/Rock']"
"February 26, 2016",2016,8,In Search of Harperfield,Emma Pollock,83,70,11,10,Chemikal Underground,"['Pop/Rock', 'Alternative/Indie Rock']"
"June 3, 2016",2016,22,Eyes on the Lines,Steve Gunn,83,69,21,10,Matador,"['Pop/Rock', 'Alternative/Indie Rock', 'Contemporary Singer/Songwriter', 'Alternative Pop/Rock', 'Guitar Virtuoso']"
"January 22, 2016",2016,3,Something About April II,Adrian Younge,83,77,7,7,Linear Labs,"['R&B', 'Retro-Soul', 'Alternative R&B']"
"March 18, 2016",2016,11,The Narrows,Grant-Lee Philips,83,52,,0,,[]
"May 6, 2016",2016,18,Hopelessness,Anohni,83,82,30,139,Secretly Canadian,"['Pop/Rock', 'Alternative/Indie Rock']"
"February 26, 2016",2016,8,SVIIB,School of Seven Bells,83,77,22,35,Vagrant,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock', 'Indie Rock', 'Indie Electronic', 'Dream Pop']"
"April 22, 2016",2016,16,Outer Heaven,Greys,83,64,9,9,Carpark Records,['Pop/Rock']
"February 5, 2016",2016,5,We Are King,King,83,80,11,15,King Creative,"['R&B', 'Alternative R&B']"
"October 28, 2016",2016,43,Hubris,Oren Ambarchi,83,0,7,0,Editions Mego,"['Electronic', 'Experimental', 'Avant-Garde', 'Pop/Rock', 'Club/Dance']"
"October 14, 2016",2016,41,Americas National Parks,Wadada Leo Smith,83,0,7,0,Cuneiform Records,"['Jazz', 'Avant-Garde', 'Modern Creative', 'Modern Composition', 'Avant-Garde Jazz', 'Modern Free']"
"September 23, 2016",2016,38,If You See Me Say Yes,Flock of Dimes,83,78,9,12,Partisan,"['Pop/Rock', 'Alternative/Indie Rock']"
"September 2, 2016",2016,35,Whole Cloven,Nathan Bowles,83,0,7,0,Paradise of Bachelors,"['Folk', 'Alternative/Indie Rock']"
"December 2, 2016",2016,48,Blue and Lonesome,The Rolling Stones,82,74,21,65,Interscope,"['Pop/Rock', 'Contemporary Pop/Rock', 'Blues-Rock', 'Rock & Roll', 'Regional Blues', 'British Blues']"
"November 11, 2016",2016,45,Daniel Bachman,Daniel Bachman,82,0,7,0,Three Lobed Recordings,"['Experimental', 'Folk', 'Pop/Rock', 'Indie Folk', 'Modern Acoustic Blues', 'Guitar Virtuoso', 'Acoustic Blues']"
"April 8, 2016",2016,14,The Peace Truce of Future of the Left,Future of the Left,82,77,10,12,Prescriptions,"['Pop/Rock', 'Alternative/Indie Rock']"
"March 18, 2016",2016,11,No One Deserves Happiness,The Body,82,83,12,9,Thrill Jockey,"['Pop/Rock', 'Heavy Metal', 'Experimental Rock', 'Doom Metal', 'Noise-Rock', 'Sludge Metal']"
"June 28, 2016",2016,26,Freetown Sound,Blood Orange,82,86,30,98,Domino,"['Pop/Rock', 'Alternative/Indie Rock']"
"September 2, 2016",2016,35,Nothing More to Say,The Frightnrs,82,0,8,0,Daptone,['Reggae']
"April 8, 2016",2016,14,Love Streams,Tim Hecker,82,81,26,35,4AD,['Electronic']
"January 22, 2016",2016,3,The Waiting Room,Tindersticks,82,75,20,23,City Slang,"['Pop/Rock', 'Alternative/Indie Rock']"
"May 13, 2016",2016,19,Oh No,Jessy Lanza,82,81,21,34,Hyperdub,"['Electronic', 'Pop/Rock']"
"September 23, 2016",2016,38,I Had a Dream That You Were Mine,Hamilton Leithauser,82,83,23,39,Glassnote Entertainment Group,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
"July 29, 2016",2016,30,For All We Know,nao,82,84,16,62,RCA,['R&B']
"May 27, 2016",2016,21,All Our Gods Have Abandoned Us,Architects,82,89,7,81,Epitaph,"['Metal', 'Metalcore']"
"October 21, 2016",2016,42,Citizen of Glass,Agnes Obel,82,84,11,31,PIAS,"['Pop/Rock', 'Alternative/Indie Rock', 'Alternative Singer/Songwriter']"
"April 22, 2016",2016,16,Too Many Voices,Andy Stott,82,76,11,25,Modern Love,"['Electronic', 'Pop/Rock']"
"October 28, 2016",2016,43,Burn Something Beautiful,Alejandro Escovedo,82,0,11,0,Fantasy,"['Pop/Rock', 'Adult Alternative Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Indie Pop', 'Alternative Singer/Songwriter']"
"October 14, 2016",2016,41,NOTUURONLINEU,HiEmotions,82,0,,0,,[]
"April 1, 2016",2016,13,Ears,Kaitlyn Aurelia Smith,82,74,9,10,Western Vinyl Records,"['Electronic', 'Ambient', 'Pop/Rock', 'Alternative/Indie Rock', 'Indie Electronic']"
"November 11, 2016",2016,45,Love Songs Pt 2,Romare,82,56,9,9,Ninja Tune,"['Electronic', 'House', 'Downtempo', 'Club/Dance', 'Left-Field House']"
"October 7, 2016",2016,40,Black Peak,Xylouris White,82,0,7,0,Bella Union,"['Experimental', 'Pop/Rock', 'International', 'International Fusion', 'Cretan', 'International Folk', 'Mediterranean Traditions']"
"January 22, 2016",2016,3,Jet Plane And Oxbow,Shearwater,82,75,21,33,Sup Pop,"['Pop/Rock', 'Indie/Alternative']"
"November 4, 2016",2016,44,Lodestar,Shirley Collins,82,58,15,5,Domino,['Folk']
"October 21, 2016",2016,42,Running out of Love,The Radio Dept,82,76,17,30,Labrador,"['Electronic', 'Pop/Rock', 'Alternative/Indie Rock', 'Alternative Pop/Rock']"
date,year,week_num,album,artist,meta_score,user_score,crit_num,user_num,label,genres
"April 8, 2016",2016,14,Human Performance,Parquet Courts,82,81,29,43,Rough Trade,"['Pop/Rock', 'Alternative/Indie Rock', 'Indie Rock', 'Noise Pop']"
"June 3, 2016",2016,22,Treasure House,Cats Eyes,82,66,14,7,Raf,['Pop/Rock']
"August 19, 2016",2016,33,Honest Life,Courtney Marie Andrews,82,0,8,0,Mama Bird Recording Co.,"['Country', 'Folk']"
