album,artist,date,year,week_num,meta_score,user_score,img,crit_num,user_num,label,genre

Time Skiffs,Animal Collective,"February 4, 2022",2022,5,76,0,https://static.metacritic.com/images/products/music/6/ea784f82710802ee47d2293394e451fe-98.jpg,7,0,Domino,Pop/Rock
Laurel Hell,Mitski,"February 4, 2022",2022,5,85,0,https://static.metacritic.com/images/products/music/8/871949bd90b6f2e8913a264e762ed500-98.jpg,10,0,Dead Oceans,Pop/Rock
Ants From Up There,Black Country New Road,"February 4, 2022",2022,5,91,0,https://static.metacritic.com/images/products/music/8/9c17fee3e23f4595f9a424bbc57f055a-98.jpg,6,0,Ninja Tune,Pop/Rock
Pompeii,Cate Le Bon,"February 4, 2022",2022,5,83,0,https://static.metacritic.com/images/products/music/1/be80b6e7d36a08073e8d44ef1d7bede6-98.jpg,6,0,Mexican Summer,Pop/Rock
Extreme Witchcraft,Eels,"January 28, 2022",2022,4,72,85,https://static.metacritic.com/images/products/music/1/b46880639ff8b1a82625b3c4d2410249-98.jpg,13,85,E Works,Pop/Rock
And Now Lets Turn to Page,Brent Cobb,"January 28, 2022",2022,4,80,0,https://static.metacritic.com/images/products/music/4/a8017968e4d7787d0dff7e23603d745e-98.jpg,5,0,Ol' Buddy Records,Gospel
Godmother,Josephine Foster,"January 28, 2022",2022,4,80,0,https://static.metacritic.com/images/products/music/8/8682027536f55b2c7a0e525d4227cf8c-98.jpg,5,0,Fire Records,Avant-Garde
Anas Mitchell,Anas Mitchell,"January 28, 2022",2022,4,83,0,,,0,,
The Sun is Shining Down,John Mayall,"January 28, 2022",2022,4,78,0,https://static.metacritic.com/images/products/music/4/6a9e4ff8aeac6215a7b96d0b9dcabca9-98.jpg,4,0,Forty Below Records,Blues
The Alien Coast,St Paul the Broken Bones,"January 28, 2022",2022,4,70,0,https://static.metacritic.com/images/products/music/5/fa18361f26e9be97a689f3de0e70693a-98.jpg,6,0,ATO,R&B
1111,Pinegrove,"January 28, 2022",2022,4,73,0,https://static.metacritic.com/images/products/music/5/111a84b24c2748c83a0a5f4c2cdf3512-98.jpg,7,0,Rough Trade,Pop/Rock
Set Sail,North Mississippi Allstars,"January 28, 2022",2022,4,77,0,https://static.metacritic.com/images/products/music/9/855a653441a803dc24c358d2daa4430b-98.jpg,5,0,New West,Country
Motordrome,M,"January 28, 2022",2022,4,69,84,https://static.metacritic.com/images/products/music/0/3c708ab10675ee4b04bdd3ff909d4a06-98.jpg,8,84,Sony,Electronic
Three Dimensions Deep,Amber Mark,"January 28, 2022",2022,4,76,88,https://static.metacritic.com/images/products/music/7/5867d0c3f030d6282063d2657f2a8c4a-98.jpg,7,88,Interscope,R&B
The Zealot Gene,Jethro Tull,"January 28, 2022",2022,4,67,0,https://static.metacritic.com/images/products/music/0/c695a0494dcea34f4a111161b02eadf7-98.jpg,4,0,Inside Out Music,Pop/Rock
Aboogi,Imarhan,"January 28, 2022",2022,4,86,0,https://static.metacritic.com/images/products/music/5/128533549086df931f2cbc1785fe5f78-98.jpg,4,0,City Slang,International
C91,Various Artists,"January 28, 2022",2022,4,69,0,https://static.metacritic.com/images/products/music/6/98261c89e11b3ad03e9938e14421d877-98.jpg,4,0,Cherry Red,Pop/Rock
All the Bright Coins,Simone Felice,"January 28, 2022",2022,4,72,0,https://static.metacritic.com/images/products/music/7/76ad31fb6b58a96c4d5229376c68bde4-98.jpg,4,0,Chrysalis Records,Pop/Rock
In Free Fall,Maya Shenfeld,"January 28, 2022",2022,4,82,0,https://static.metacritic.com/images/products/music/0/eef7ac1433dc3def7a02ccf74fc6231b-98.jpg,4,0,Thrill Jockey,Electronic
